1.00000 -0.00514
0.99288 -0.00514
0.98585 -0.00551
0.97882 -0.00588
0.97170 -0.00588
0.96460 -0.00593
0.95762 -0.00651
0.95052 -0.00661
0.94341 -0.00661
0.93637 -0.00695
0.92935 -0.00735
0.92223 -0.00735
0.91523 -0.00784
0.90817 -0.00808
0.90105 -0.00808
0.89402 -0.00845
0.88699 -0.00882
0.87987 -0.00882
0.87284 -0.00920
0.86581 -0.00955
0.85871 -0.00965
0.85175 -0.01029
0.84463 -0.01029
0.83760 -0.01065
0.83057 -0.01102
0.82345 -0.01102
0.81641 -0.01137
0.80939 -0.01176
0.80227 -0.01175
0.79533 -0.01249
0.78821 -0.01249
0.78127 -0.01325
0.77415 -0.01323
0.76712 -0.01359
0.76009 -0.01396
0.75306 -0.01435
0.74603 -0.01469
0.73901 -0.01513
0.73196 -0.01543
0.72503 -0.01619
0.71790 -0.01616
0.71097 -0.01693
0.70384 -0.01690
0.69690 -0.01763
0.68978 -0.01762
0.68284 -0.01837
0.67581 -0.01877
0.66877 -0.01910
0.66183 -0.01983
0.65471 -0.01983
0.64777 -0.02057
0.64082 -0.02130
0.63375 -0.02148
0.62676 -0.02204
0.61982 -0.02277
0.61279 -0.02315
0.60576 -0.02351
0.59881 -0.02425
0.59188 -0.02502
0.58476 -0.02503
0.57781 -0.02572
0.57086 -0.02645
0.56393 -0.02722
0.55689 -0.02756
0.54985 -0.02788
0.54291 -0.02865
0.53597 -0.02939
0.52903 -0.03012
0.52204 -0.03067
0.51505 -0.03123
0.50801 -0.03156
0.50108 -0.03233
0.49413 -0.03306
0.48719 -0.03380
0.48024 -0.03453
0.47329 -0.03523
0.46631 -0.03581
0.45932 -0.03635
0.45233 -0.03688
0.44535 -0.03747
0.43841 -0.03821
0.43146 -0.03894
0.42452 -0.03968
0.41757 -0.04040
0.41064 -0.04117
0.40367 -0.04179
0.39666 -0.04226
0.38962 -0.04258
0.38268 -0.04335
0.37574 -0.04408
0.36879 -0.04482
0.36186 -0.04559
0.35482 -0.04593
0.34779 -0.04629
0.34084 -0.04702
0.33387 -0.04762
0.32678 -0.04776
0.31984 -0.04849
0.31283 -0.04894
0.30578 -0.04923
0.29878 -0.04973
0.29172 -0.04996
0.28473 -0.05052
0.27765 -0.05070
0.27054 -0.05070
0.26351 -0.05106
0.25648 -0.05143
0.24936 -0.05143
0.24224 -0.05143
0.23512 -0.05143
0.22801 -0.05143
0.22089 -0.05143
0.21386 -0.05106
0.20683 -0.05070
0.19971 -0.05069
0.19277 -0.04996
0.18567 -0.04986
0.17870 -0.04923
0.17176 -0.04849
0.16480 -0.04782
0.15779 -0.04738
0.15091 -0.04638
0.14399 -0.04555
0.13704 -0.04482
0.13010 -0.04408
0.12332 -0.04325
0.11677 -0.04188
0.10998 -0.04106
0.10319 -0.03968
0.09636 -0.03897
0.08987 -0.03747
0.08322 -0.03605
0.07642 -0.03526
0.06991 -0.03379
0.06339 -0.03234
0.05690 -0.03082
0.05040 -0.02935
0.04386 -0.02794
0.03722 -0.02649
0.03100 -0.02432
0.02433 -0.02245
0.01794 -0.01996
0.01160 -0.01719
0.00601 -0.01293
0.00143 -0.00762
0.00000 -0.00071
0.00087 0.00636
0.00382 0.01280
0.00779 0.01863
0.01212 0.02424
0.01717 0.02926
0.02220 0.03430
0.02744 0.03904
0.03289 0.04350
0.03822 0.04812
0.04385 0.05232
0.04957 0.05640
0.05535 0.06039
0.06128 0.06418
0.06711 0.06810
0.07309 0.07183
0.07927 0.07526
0.08542 0.07876
0.09164 0.08213
0.09767 0.08556
0.10404 0.08874
0.11041 0.09193
0.11658 0.09479
0.12302 0.09771
0.12921 0.10058
0.13560 0.10304
0.14199 0.10555
0.14827 0.10797
0.15445 0.11026
0.16074 0.11227
0.16734 0.11383
0.17363 0.11614
0.18017 0.11754
0.18667 0.11904
0.19319 0.12047
0.19970 0.12192
0.20633 0.12343
0.21299 0.12484
0.21991 0.12564
0.22685 0.12637
0.23380 0.12711
0.24074 0.12784
0.24769 0.12858
0.25480 0.12858
0.26181 0.12904
0.26887 0.12931
0.27598 0.12931
0.28310 0.12931
0.29013 0.12895
0.29716 0.12858
0.30428 0.12858
0.31122 0.12784
0.31825 0.12745
0.32529 0.12714
0.33223 0.12638
0.33918 0.12566
0.34612 0.12490
0.35303 0.12405
0.35985 0.12276
0.36678 0.12197
0.37372 0.12123
0.38066 0.12048
0.38717 0.11902
0.39398 0.11829
0.40089 0.11738
0.40757 0.11610
0.41452 0.11537
0.42102 0.11388
0.42784 0.11316
0.43448 0.11169
0.44131 0.11099
0.44780 0.10949
0.45454 0.10826
0.46125 0.10726
0.46788 0.10578
0.47480 0.10498
0.48134 0.10359
0.48786 0.10214
0.49465 0.10135
0.50130 0.09991
0.50794 0.09843
0.51464 0.09744
0.52127 0.09627
0.52804 0.09478
0.53480 0.09331
0.54144 0.09183
0.54800 0.09047
0.55476 0.08963
0.56140 0.08815
0.56791 0.08669
0.57455 0.08523
0.58106 0.08375
0.58757 0.08229
0.59408 0.08082
0.60060 0.07937
0.60710 0.07789
0.61361 0.07642
0.62012 0.07494
0.62662 0.07347
0.63313 0.07199
0.63966 0.07058
0.64617 0.06910
0.65262 0.06749
0.65892 0.06551
0.66546 0.06412
0.67186 0.06241
0.67852 0.06096
0.68503 0.05952
0.69155 0.05806
0.69805 0.05658
0.70457 0.05513
0.71108 0.05368
0.71760 0.05222
0.72410 0.05074
0.73058 0.04916
0.73721 0.04768
0.74389 0.04633
0.75039 0.04485
0.75690 0.04336
0.76340 0.04188
